1000;-0.619382345;-21
2000;-2.035646245;-37
3000;-3.88688906;-50
4000;-5.888793292;-60
5000;-7.958800173;-67
6000;-10.17792453;-72
7000;-12.71572249;-78
8000;-11.48952939;-82
9000;-13.54501509;-86
10000;-24.65368202;-90
10500;-29.1416008;-95
10700;-31.47171218;-96
10800;-33.75057922;-99
10900;-35.36901738;-102
11000;-37.8938231;-105
11100;-41.27667108;-116
11200;-46.13743206;-136
11300;-48.16658487;165
11400;-44.1992318;123
11500;-40.11683214;110
12000;-30.45459978;95
13000;-23.49505817;89
14000;-19.7443846;86
20000;-11.0812542;73
30000;-6.400118433;60
40000;-4.328286738;52
50000;-3.079733841;45
60000;-2.361986242;39
70000;-1.830527297;34
80000;-1.477093326;30
90000;-1.21950867;28
100000;-1.041590242;25
